,Feature,2020-Correlation_with_Target
0,CVDINFR4,0.2397280026688062
1,CVDSTRK3,0.1986971169218162
2,CHCKDNY2,0.16366525391396272
3,HAVARTH4,0.12381338694066256
4,ADDEPEV3,0.10412328532762868
5,DIABETE4,0.09592006133922538
6,DIFFWALK,0.05565803220675445
7,DIFFDRES,0.05170826776335482
8,SMOKE100,0.046443735360995726
9,RENTHOM1,0.039499014280586824
10,SLEPTIM1,0.03803892178135093
11,CHECKUP1,0.036011324612939655
12,MARITAL,0.027906153710673166
13,MEDCOST,0.02713967863061263
14,_SMOKER3,0.02574975618189073
15,_CHLDCNT,0.024619306317630662
16,_MENT14D,0.024216553009624293
17,_RFBMI5,0.023215058175028783
18,PHYSHLTH,0.02152394787899954
19,DRNKANY5,0.019818754350480704
20,SEXVAR,0.01746295907153677
21,_IMPRACE,0.012909884090950105
22,EXERANY2,0.01236234918190916
23,_TOTINDA,0.012159896517610408
24,_EDUCAG,0.006894963698112038
25,EDUCA,0.0009487285001080482
26,MENTHLTH,0.0006289133121182034
27,_AGE65YR,-0.010283462128250858
28,EMPLOY1,-0.022096431112207944
29,GENHLTH,-0.02491866033837072
30,_AGE_G,-0.032744512222103034
