,Feature,2022-Correlation_with_Target
0,CVDINFR4,0.2347608702990093
1,CVDSTRK3,0.17779034578352756
2,CHCKDNY2,0.15208109927657223
3,HAVARTH4,0.10509084972665028
4,ADDEPEV3,0.0982061419092077
5,DIABETE4,0.08248513880477075
6,DIFFWALK,0.06947992335331095
7,RENTHOM1,0.05370886539490839
8,SLEPTIM1,0.04764203838639104
9,CHECKUP1,0.04463678135399238
10,MEDCOST1,0.04265381670576316
11,MARITAL,0.03814098194898202
12,_CHLDCNT,0.03662844232859037
13,EXERANY2,0.03588297389780388
14,_TOTINDA,0.034574027591346
15,PRIMINSR,0.03399144753119189
16,_MENT14D,0.031316760873253614
17,_RFBMI5,0.02746957343000779
18,DRNKANY6,0.022085449148959643
19,_SMOKER3,0.018069861898703604
20,SEXVAR,0.014563387840415913
21,_IMPRACE,0.014015059209333745
22,PHYSHLTH,0.01378939373526002
23,_EDUCAG,0.0036889301937202807
24,MENTHLTH,-2.7724985297370806e-05
25,GENHLTH,-0.004740140051898572
26,EDUCA,-0.0066344582333568
27,EMPLOY1,-0.008450973735569703
28,_AGE65YR,-0.011142053045580417
29,_AGE_G,-0.03129409717783076
